headline,clickbait
بحث  حوالي نصف المهاجرين بالمغرب يتوفرون على عمل,1
المكتب الوطني للسكك الحديدية يطلق برنامجا غنيا ومغريا خاصا بالفترة الصيفية,1
نقل المغني أركيلي إلى سجن في بروكلين تمهيدا لمحاكمته بداية غشت القادم,1
 ويفا  يلغي أفضلية الهدف خارج القواعد بعد  عاما,1
فلسطين تفوز على جزر القمر وتلتحق بمجموعة المغرب في كأس العرب,1
مجلس الحكومة يصادق على مشروع مرسوم بتحويل مؤسسات للتكوين الفندقي والسياحي إلى قطاع التربية الوطنية,1
العثماني  امتحانات البكالوريا قصة نجاح أخرى من القصص التي راكمتها المملكة في فترة الجائحة,1
شاهدوا إعادة حلقة الخميس   من مسلسلكم  الوعد ,0
مجلس الحكومة يصادق على مشروع مرسوم بإحداث مجلس وطني للبحث العلمي,1
الرجاء الرياضي ينتصر على الجديدة ويستمر في المطاردة,1
اتحاد كتاب المغرب  رحيل الكاتب بشير القمري  خسارة كبيرة  للثقافة والإبداع بالمغرب وبالعالم العربي,1
إغماء ومباراة  في محطة الفضاء   إليكم أبرز لقطات دور مجموعات اليورو,0
وزير الخارجية الليبيري  ليبيريا ستواصل دعم المقترح المغربي للحكم الذاتي,1
الوزير الأول الجزائري يقدم استقالة حكومته,1
تمثيليات ديبلوماسية عربية تزور الداخلة للإطلاع على إمكانات المنطقة,1
فيديو  التوجيه المناسب للتلاميذ بعد الباكالوريا,0
حسناء زلاغ، ياسر الشرقي، الصنهاجي، حاتم إدار، إكرام العبدية وصويلح في عدد جديد من  الليلة سهرتنا    السبت مساء,1
الرباط   افتتاح مكتب الأمم المتحدة لمكافحة الإرهاب والتدريب في إفريقيا,1
كوفيد    اكتشاف السلالة الهندية لأول مرة بتونس,1
ابتداء من  سنة   عامل السن يؤثر على الخصوبة عند المرأة ويقلل من حظوظ الحمل في  صباحيات ,1
رشيد الوالي، أسماء الخملشي، فاطمة الزهراء الجوهري والبطل العالمي كريم غاجي في  جزيرة الكنز   الحلقة كاملة,1
إليكم إعادة حلقة اليوم الخميس   من المسلسل التركي  من أجل ابني ,0
المغرب   استفادة أزيد من  ملايين و ألف شخص من الجرعة الأولى للقاح كورونا,1
وزارة الصحة تعلن تسجيل  إصابة و حالة وفاة جديدة بفيروس كورونا,1
كاس أوروبا  رونالدو الهداف القياسي للمنتخبات,1
مصدر بتيكنوبارك طنجة وصاحب الجدارية يكشفان لـ أسباب منع السلطات لعمل فني يكرم ليلى العلوي,1
رسميا  الويفا يعلن عن إلغاء قاعدة الهدف خارج الديار في البطولات الأوروبية,1
كيف تتصرف لو عرفت أن ابنك يدخن؟ الجواب في  كيف الحال ,0
الفنان ناصر ميكري يقدم جديده الفني في عدد جديد من  استوديو  السبت زوالا,1
البرلمان العربي يعقد السبت المقبل بالقاهرة جلسة طارئة للرد على قرار البرلمان الأوروبي بشأن المغرب,1
بحث    في المائة من المهاجرين يعتبرون سلوكيات المغاربة  إيجابية  اتجاههم,1
وفاة الأديب والروائي البشير قمري بعد معاناة طويلة مع المرض,1
فاطمة الزهراء الجوهري تنجز عملية حسابية وهي تحت تأثير لعبة  الككارين  في  جزيرة الكنز   فيديو,0
كوفيد    جميع اللقاحات فعالة ضد متحور  دلتا  رغم خطورته  خبير ),1
هل وافق ميسي فعلا على تجديد عقده مع برشلونة ؟,0
عشبة الفوة   فوائدها وأضرارها في  عينك ميزانك  الاثنين في  و دقيقة مساء,1
المركز الوطني لتحاقن الدم يدعو المواطنين إلى التبرع خلال فترة الصيف لإنقاذ مزيد من الأرواح,1
قطاع الصحة   تنظيمات مهنية ونقابية تؤكد التزامها الكامل بإنجاح ورش تعميم الحماية الاجتماعية,1
إلتون جون يضيف عشرات الحفلات ضمن جولته الوداعية في أوروبا وأميركا الشمالية,1
ريحان التقت بأمير في السجن   تعرفوا على أحداث حلقة اليوم من  الوعد ,0
مريم تتجسس على زهير وأيلول تحاول اكتشاف خطط فراس   إليكم أحداث  من أجل ابني ,0
المطارات المغربية استقبلت خلال أسبوع  ألفا و مسافرا عبر  رحلة جوية,1
بعد تداول أخبار حول سلامته     ترصد بالفيديو مدى الاقبال على  الدلاح ,0
عضو اللجنة العلمية لـ   يرتقب وصول  ألف جرعة من أسترازينيكا عبر آلية كوفاكس ,1
ماهي فوائد وأضرار الفلفل الحار؟ الجواب في  صباحيات   ,0
الوجه الآخر لـصاحبة أعلى معدل بجهة سوس  عازفة للقيثارة وهذه وصفتها للتميز‎‎   فيديو),0
رئيس الحكومة  عملية  مرحبا  بلغت النضج والتعبئة شاملة لإنجاحها,1
التعادل يحسم قمة فرنسا والبرتغال والثنائي رونالدو وبنزيما أبرز عنوان,0
الدار البيضاء   توقيف مواطن أجنبي للاشتباه في تورطه في محاولة السرقة باستعمال العنف,1
كأس العرب لأقل من  سنة  المنتخب الوطني ينتصر على جيبوتي برباعية,1
كأس أوروبا  إسبانيا تلحق بالسويد الى ثمن النهائي باكتساحها سلوفاكيا,1
البلد الأسعد في العالم  يبحث عن مهاجرين,0
كأس أوروبا  برنامج الدور ثمن النهائي,0
شاهدوا إعادة حلقة الأربعاء   من مسلسلكم  الوعد ,0
إسبانيا تدك شباك سلوفاكيا بخماسية وتتأهل كوصيفة لمجموعتها,1
قبل ثلاث جولات من النهاية   تعرف على وضعية المتنافسين على الصعود والبقاء في القسم الثاني,0
كاميرا برنامج    تنقل لكم أجواء أول عرض مسرحي بمسرح محمد الخامس بعد الجائحة   في   ,1
